work_year,experience_level,salary_in_usd,remote_ratio,company_size,FL,FT,PT
2025,3,28000,0,2,0,1,0
2025,3,175800,0,2,0,1,0
2024,3,145000,0,2,0,1,0
2025,3,123000,0,2,0,1,0
2025,3,251600,0,2,0,1,0
2024,2,190000,0,2,0,1,0
2024,3,239000,0,3,0,1,0
2024,2,91800,0,2,0,1,0
2025,2,64800,0,2,0,1,0
2023,3,135200,0,2,0,1,0
2024,3,124800,0,2,0,1,0
2025,3,78900,0,2,0,1,0
2025,2,186000,0,2,0,1,0
2025,3,234000,0,2,0,1,0
2025,3,141200,0,2,0,1,0
2025,3,240000,100,2,0,1,0
2024,1,79700,0,2,0,1,0
2025,2,63000,0,2,0,1,0
2024,3,122200,0,2,0,1,0
2024,3,242000,0,2,0,1,0
2024,2,135200,0,2,0,1,0
2025,2,220000,0,2,0,1,0
2024,2,60400,0,2,0,1,0
2025,3,250000,100,2,0,1,0
2024,1,118575,0,2,0,1,0
2025,3,110000,100,2,0,1,0
2025,2,78000,0,2,0,1,0
2024,3,130760,0,2,0,0,0
2024,3,115000,100,2,0,1,0
2024,3,260830,100,2,0,1,0
2025,3,149000,0,2,0,1,0
2025,3,110000,100,2,0,1,0
2024,3,175000,0,2,0,1,0
2025,2,236500,0,2,0,1,0
2025,3,110000,0,2,0,1,0
2025,3,156000,0,2,0,1,0
2024,3,138000,0,2,0,1,0
2024,3,110000,0,2,0,1,0
2025,2,216000,0,2,0,1,0
2024,2,183750,0,2,0,1,0
2025,3,301200,0,2,0,1,0
2025,1,145000,0,2,0,1,0
2024,3,239000,100,2,0,1,0
2025,3,113840,0,2,0,1,0
2024,2,125000,0,2,0,1,0
2024,1,200000,0,3,0,1,0
2024,2,195800,0,2,0,1,0
2024,2,60000,0,2,0,1,0
2024,2,419750,0,2,0,1,0
2024,3,190000,0,2,0,1,0
2024,1,144000,0,2,0,1,0
2025,3,151200,0,2,0,1,0
2024,2,130000,0,2,0,1,0
2025,3,184300,0,2,0,1,0
2025,2,245985,100,2,0,1,0
2025,3,246400,0,2,0,1,0
2025,3,116270,100,2,0,1,0
2025,2,220000,100,2,0,1,0
2024,3,168300,0,2,0,1,0
2025,1,99000,100,2,0,1,0
2025,3,140800,0,2,0,1,0
2025,3,250000,0,2,0,1,0
2023,3,75000,100,2,0,1,0
2023,3,156400,100,2,0,1,0
2025,1,81094,100,2,0,0,1
2025,1,50000,100,2,0,0,0
2024,2,130000,0,2,0,1,0
2025,2,96000,0,2,0,1,0
2025,3,146000,100,2,0,1,0
2025,3,178100,0,2,0,1,0
2025,3,82783,0,2,0,1,0
2024,3,280000,0,2,0,1,0
2023,3,204500,0,2,0,1,0
2024,3,138000,0,2,0,1,0
2024,3,225000,100,2,0,1,0
2025,3,233800,0,2,0,1,0
2024,2,148000,0,2,0,1,0
2024,2,173000,0,2,0,1,0
2025,3,414000,0,2,0,1,0
2024,1,44444,0,2,0,1,0
2024,2,210000,0,2,0,1,0
2025,3,220000,0,2,0,1,0
2024,3,62500,0,2,0,1,0
2024,2,230000,0,2,0,1,0
2025,3,180000,100,2,0,1,0
2024,3,140000,0,2,0,1,0
2025,3,202500,0,2,0,1,0
2025,3,95000,0,2,0,1,0
2024,3,201000,0,2,0,1,0
2025,3,217378,0,2,0,1,0
2024,3,183552,0,2,0,1,0
2025,1,76800,0,2,0,1,0
2024,1,52021,0,2,0,1,0
2025,3,120000,0,3,0,1,0
2025,3,119574,0,2,0,1,0
2025,3,145350,0,2,0,1,0
2025,1,60300,100,2,0,1,0
2022,2,20984,50,3,0,1,0
2025,3,90000,0,2,0,1,0
2025,2,209000,100,2,0,1,0
2024,3,720000,0,2,0,1,0
2025,2,293500,0,2,0,1,0
2025,3,260050,0,2,0,1,0
2025,3,110000,0,2,0,1,0
2023,3,110400,0,2,0,1,0
2024,3,267100,0,2,0,1,0
2024,3,165000,0,2,0,1,0
2024,3,242000,0,2,0,1,0
2025,3,178360,100,2,0,1,0
2025,2,125000,0,2,0,1,0
2024,3,180000,100,2,0,1,0
2024,2,100000,100,2,0,1,0
2025,3,264200,0,2,0,1,0
2025,1,145000,0,2,0,1,0
2024,3,232223,0,2,0,1,0
2025,2,84000,0,2,0,1,0
2024,2,230000,0,2,0,1,0
2024,1,51111,0,2,0,1,0
2025,3,223500,0,2,0,1,0
2025,1,36708,0,2,0,1,0
2023,3,176000,0,2,0,1,0
2025,3,204900,0,2,0,1,0
2025,3,158000,0,2,0,1,0
2025,3,190000,100,2,0,1,0
2025,3,105740,0,2,0,1,0
2025,2,266000,0,2,0,1,0
2024,3,252000,0,2,0,1,0
2025,3,355000,0,2,0,1,0
2024,1,43750,100,2,0,1,0
2024,3,61333,0,2,0,1,0
2023,3,75038,100,2,0,1,0
2023,4,329500,100,2,0,1,0
2025,3,254400,0,2,0,1,0
2024,3,230000,0,2,0,1,0
2024,3,218500,100,2,0,1,0
2024,3,145400,0,2,0,1,0
2025,2,171288,0,2,0,1,0
2024,2,89000,100,2,0,1,0
2023,3,142200,0,2,0,1,0
2024,3,295490,0,2,0,1,0
2025,3,95000,0,2,0,1,0
2025,3,216000,0,2,0,1,0
2024,2,160000,0,2,0,1,0
2025,2,154700,100,2,0,1,0
2024,2,75000,0,2,0,1,0
2025,3,120750,0,2,0,1,0
2024,3,209720,0,2,0,1,0
2025,3,148000,0,2,0,1,0
2023,3,232200,100,2,0,1,0
2022,3,210000,100,2,0,1,0
2025,2,245000,0,2,0,1,0
2025,4,350000,0,2,0,1,0
2023,2,110000,0,2,0,1,0
2024,3,166600,100,2,0,1,0
2024,2,150000,0,2,0,1,0
2024,3,130000,100,2,0,1,0
2025,3,197400,0,2,0,1,0
2023,3,170000,0,2,0,1,0
2025,3,179840,0,2,0,1,0
2025,3,20000,100,2,0,0,0
2024,3,110100,0,2,0,1,0
2024,2,200200,0,2,0,1,0
2024,1,55000,100,2,0,1,0
2024,2,109000,100,2,0,1,0
2024,1,89000,100,2,0,1,0
2024,2,90011,0,2,0,1,0
2024,2,146000,0,2,0,1,0
2025,1,48000,100,2,0,1,0
2025,3,269400,100,2,0,1,0
2024,3,194000,0,2,0,1,0
2025,3,202000,0,2,0,1,0
2024,3,220000,0,2,0,1,0
