work_year,experience_level,salary_in_usd,remote_ratio,company_size,FL,FT,PT
2024,2,70000,100,2,0,1,0
2024,3,139100,0,3,0,1,0
2024,3,199200,0,2,0,1,0
2025,1,27710,0,2,0,1,0
2024,2,350000,0,2,0,1,0
2025,3,220700,0,2,0,1,0
2025,2,77500,0,2,0,1,0
2024,3,180000,100,2,0,1,0
2025,2,98300,0,2,0,1,0
2024,1,355000,0,2,0,1,0
2024,2,95000,0,2,0,1,0
2023,3,253000,100,2,0,1,0
2024,1,82100,0,2,0,1,0
2024,3,146000,0,2,0,1,0
2025,2,60500,0,2,0,1,0
2024,3,209440,0,2,0,1,0
2025,1,85000,100,2,0,1,0
2024,2,210000,0,2,0,1,0
2024,3,247300,0,2,0,1,0
2024,2,176000,0,2,0,1,0
2024,2,200200,0,2,0,1,0
2025,3,180000,0,2,0,1,0
2025,3,90000,0,2,0,1,0
2024,3,112000,0,2,0,1,0
2024,3,155000,0,2,0,1,0
2025,3,196000,0,2,0,1,0
2025,2,146000,100,2,0,1,0
2024,3,160000,0,2,0,1,0
2024,3,220000,0,2,0,1,0
2024,1,168520,0,2,0,1,0
2025,2,166000,0,2,0,1,0
2025,2,184200,0,2,0,1,0
2023,2,61520,0,2,0,1,0
2024,3,146000,100,2,0,1,0
2024,3,77777,100,2,0,1,0
2023,3,225300,0,2,0,1,0
2025,3,135000,100,2,0,1,0
2024,3,230800,100,2,0,1,0
2024,2,125000,0,2,0,1,0
2025,3,207980,0,2,0,1,0
2025,3,226920,0,2,0,1,0
2025,3,169600,0,2,0,1,0
2025,3,162000,0,2,0,1,0
2025,3,139800,0,2,0,1,0
2024,3,168000,0,2,0,1,0
2024,3,294000,0,2,0,1,0
2025,3,128600,0,2,0,1,0
2024,3,177100,0,2,0,1,0
2025,3,150000,0,2,0,0,0
2025,3,185000,0,2,0,1,0
2025,3,287500,0,2,0,1,0
2025,2,208800,0,2,0,1,0
2025,3,178010,0,2,0,1,0
2023,3,120000,0,2,0,1,0
2025,3,160000,100,2,0,1,0
2025,3,323000,0,2,0,1,0
2024,1,106100,0,2,0,1,0
2024,3,100000,0,2,0,1,0
2025,3,210000,0,2,0,1,0
2024,1,70824,0,2,0,1,0
2025,3,171000,100,2,0,1,0
2024,3,108500,100,2,0,1,0
2025,3,143000,0,2,0,1,0
2025,3,245000,0,2,0,1,0
2025,2,195000,100,2,0,1,0
2024,3,142000,0,2,0,1,0
2024,3,120000,0,2,0,1,0
2024,3,264000,0,2,0,1,0
2024,3,86840,0,2,0,1,0
2025,2,132800,0,2,0,1,0
2024,2,213600,0,2,0,1,0
2022,2,89306,0,2,0,1,0
2024,2,162819,100,2,0,1,0
2024,2,100000,0,2,0,1,0
2024,2,284000,0,2,0,1,0
2025,2,385000,0,2,0,1,0
2024,3,127500,100,2,0,1,0
2025,3,237000,0,2,0,1,0
2025,2,111550,0,2,0,1,0
2025,1,60400,0,2,0,1,0
2024,3,135800,0,2,0,1,0
2023,2,73100,0,2,0,1,0
2025,3,160000,0,2,0,1,0
2024,2,185800,100,2,0,1,0
2025,3,173100,0,2,0,1,0
2024,3,169847,100,2,0,1,0
2025,3,126100,0,2,0,1,0
2025,3,189000,0,2,0,1,0
2025,2,109900,0,2,0,1,0
2025,2,75700,0,2,0,1,0
2024,3,243500,100,2,0,1,0
2025,2,125000,0,2,0,1,0
2024,2,135200,0,2,0,1,0
2024,2,258000,0,2,0,1,0
2024,2,110000,100,2,0,1,0
2024,2,78000,0,2,0,1,0
2025,3,286000,0,2,0,1,0
2024,3,245000,0,2,0,1,0
2025,3,144200,0,2,0,1,0
2024,1,98300,0,2,0,1,0
2024,3,321000,0,2,0,1,0
2024,2,100000,100,2,0,1,0
2024,1,58000,0,2,0,1,0
2025,2,112000,100,2,0,1,0
2024,3,299000,0,2,0,1,0
2025,3,100360,0,2,0,1,0
2024,3,250600,0,2,0,1,0
2024,1,78998,0,2,0,1,0
2023,3,187259,0,2,0,1,0
2025,3,118000,0,2,0,1,0
2024,3,314400,0,2,0,1,0
2025,3,170000,0,2,0,1,0
2024,2,209500,0,2,0,1,0
2024,3,97900,100,2,0,1,0
2024,2,95825,100,2,0,1,0
2022,3,247500,0,2,0,1,0
2025,2,440000,0,2,0,1,0
2024,3,249800,0,2,0,1,0
2024,2,132500,0,2,0,1,0
2024,3,210000,100,2,0,1,0
2024,3,250800,0,2,0,1,0
2025,2,38000,0,2,0,1,0
2025,3,41684,0,2,0,1,0
2025,3,176000,0,2,0,1,0
2024,3,138000,0,2,0,1,0
2024,2,223000,0,2,0,1,0
2025,3,163800,0,2,0,1,0
2024,3,178090,100,2,0,1,0
2025,3,341243,0,2,0,1,0
2025,1,90000,0,2,0,1,0
2024,4,225000,0,2,0,1,0
2024,3,150000,0,2,0,1,0
2024,3,201900,0,2,0,1,0
2024,2,85000,0,2,0,1,0
2025,3,116270,100,2,0,1,0
2025,2,95000,0,2,0,1,0
2025,1,175000,0,2,0,1,0
2022,3,131300,100,3,0,1,0
2023,2,140000,0,2,0,1,0
2024,3,125600,0,2,0,1,0
2024,2,145800,100,2,0,1,0
2024,2,145000,0,2,0,1,0
2025,3,180000,100,2,0,1,0
2025,3,138000,0,2,0,1,0
2024,1,95700,0,2,0,1,0
2025,1,60000,100,2,0,1,0
2025,3,101265,0,2,0,1,0
2023,3,130000,0,2,0,1,0
2025,3,115000,0,2,0,1,0
2025,2,110058,100,2,0,1,0
2023,3,155000,0,2,0,1,0
2024,3,166000,0,2,0,1,0
2022,3,63000,0,2,0,1,0
2024,2,167537,0,2,0,1,0
2025,2,220000,0,2,0,1,0
2025,3,200000,0,2,0,1,0
2025,3,273100,100,2,0,1,0
2024,3,109000,0,2,0,1,0
2024,3,82887,100,2,0,1,0
2022,3,250000,0,2,0,1,0
2025,2,356500,0,2,0,1,0
2024,3,194063,100,2,0,1,0
2024,3,104800,100,2,0,1,0
2025,3,180000,0,2,0,1,0
2024,3,160000,0,2,0,1,0
2025,3,132800,0,2,0,1,0
2025,3,137400,0,2,0,1,0
2025,2,103997,0,3,0,1,0
2025,3,101265,0,2,0,1,0
2024,2,143500,100,2,0,1,0
2024,4,290000,0,2,0,1,0
2024,3,164000,0,2,0,1,0
2025,3,256000,0,2,0,1,0
2025,4,165000,100,2,0,1,0
2024,3,164000,0,2,0,1,0
2025,2,200000,0,2,0,1,0
2025,3,110000,100,2,0,1,0
2023,2,95000,100,2,0,1,0
2024,3,80000,100,2,0,1,0
2024,3,110000,100,2,0,1,0
2025,3,196000,0,2,0,1,0
2024,2,84000,0,2,0,1,0
2024,1,72100,0,2,0,1,0
2025,3,129690,100,2,0,1,0
2025,2,186000,0,2,0,1,0
2024,3,151900,0,2,0,1,0
2024,3,208000,0,2,0,1,0
2025,2,187000,0,2,0,1,0
2025,1,100000,100,2,0,1,0
2025,4,126100,0,2,0,1,0
2025,3,197400,0,2,0,1,0
2024,2,120000,100,2,0,1,0
2025,3,172000,0,2,0,1,0
2024,3,201400,0,2,0,1,0
